Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lw-shoestring-cut,LW Shoestring cut,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,30.55,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/Shoestring.jpg?v=1635494502,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-tri-patty,LW Triangle Hash Brown Patties,"<p><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,31.90,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/tripatty.jpg?v=1635494763,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-spicy-wedges,LW Spicy Wedges,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,36.15,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/spicywedges.jpg?v=1635494567,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-crinkle-cut,LW Crinkle cut,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,25.60,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/crinklecut.jpg?v=1635493878,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-chips,LW Chips,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,40.90,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/chips.jpg?v=1635493826,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-regular-cut,LW Regular Cut,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,26.00,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/Regularcut.jpg?v=1635494294,1,,false,,,,,,,,,,,,,,,,,kg,,,active
nz-prime-steer-tenderloin,🇳🇿NZ Prime Steer Tenderloin,"<p>100% Grass-fed New Zealand beef meat cuts.<br><span data-mce-fragment=""1"">The full tenderloin, or fillet, is removed in one piece from the full rump and loin and completely trimmed of fat.</span><br></p>
<p><strong>Cooking Method :</strong><br>Dry heat</p>
<p><b>Recommended Menu Applications :</b><br>Steak entrée; slice to add premium appeal to small plates, sandwiches, pastas, salads and more</p>
<p><meta charset=""utf-8""><span>-Est weight 600g-</span></p>
<p><span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Taylor Preston,,Beef,"New Zealand, Tenderloin",false,Title,Default Title,,,,,"",600.0,shopify,20,deny,manual,81.50,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/1624491238275.png?v=1634434672,1,,false,,100% Grass-fed New Zealand beef & lamb meat cuts.,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
nz-ribeye,🇳🇿NZ Prime Steer Ribeye,"<p>100% Grass-fed New Zealand beef meat cuts.</p>
<div class=""page"" title=""Page 4"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">
<p><span><strong>Cooking Method :</strong><br></span><span>Dry heat </span></p>
<p><span><strong>Recommended Menu Applications :</strong><br></span><span>Steak entrée; slice for sandwiches, salads or wraps</span></p>
<p><span><meta charset=""utf-8"">-Est weight 500g-</span></p>
<span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span>
</div>
</div>
</div>
</div>",Taylor Preston,,Beef,"New Zealand, Ribeye",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,61.50,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/FB_IMG_1634434470209.jpg?v=1634434516,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,draft
copy-of-new-zealand-beef-short-rib,NZ Beef Short Rib,"<p>100% Grass-fed New Zealand beef meat cuts.<br><span data-mce-fragment=""1"">Short ribs are derived from the rib set portion remaining after removal of the OP ribs.</span><br></p>
<p><strong>Cooking Method :</strong><br>Dry heat for thinner cuts, moist heat for thicker cuts</p>
<p><strong>Recommend Menu Applications :</strong><br>Plate for rib presentations; <br>Shred for sandwiches, pasta topping or gravy and BBQ sauces</p>
<p><meta charset=""utf-8""><span>-Est weight 550g-</span></p>
<p><span><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></span></p>",Taylor Preston,,Beef,"New Zealand, Short Rib",true,Title,Default Title,,,,,'2001005,550.0,shopify,20,deny,manual,57.90,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/0001-2618506194_20210609_221957_0000.png?v=1634434171,1,,false,,,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats",Unisex,Adult,,,,,,,,,,,,g,,,active
copy-of-australia-beef-topside,🇭🇲AU Beef Topside,"<p>-Est weight 500g-</p>
<p><meta charset=""utf-8""> <em>-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Beef,"Australia, Topside",false,Title,Default Title,,,,,"",500.0,shopify,20,deny,manual,28.15,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/1625371268774.png?v=1634433194,1,,false,,,,,,,,,,,,,,,,,g,,,draft
